2	52	11690
2	53	11351
2	54	10300
2	55	8983
2	56	6152
2	57	5955
2	58	4616
2	59	4337
2	60	4147
2	61	3923
3	102	662
3	103	493
3	104	431
3	105	403
3	106	354
3	107	269
3	108	236
3	109	215
3	110	215
3	111	212
4	53	686
4	64	420
4	65	301
4	70	389
4	72	4983
4	77	396
4	151	1807
4	152	1208
4	153	903
4	154	826
5	154	884
5	173	241
5	182	222
5	190	826
5	194	777
5	195	673
5	196	620
5	197	452
5	198	451
5	199	374
6	239	41
6	240	41
6	241	40
6	242	37
6	243	34
6	244	33
6	245	31
6	246	31
6	247	27
6	248	26
7	67	2540
7	89	5846
7	257	5188
7	288	43864
7	289	11112
7	290	6266
7	291	5379
7	292	4201
7	293	4059
7	294	3251
8	89	921
8	97	354
8	251	235
8	257	479
8	265	581
8	288	428
8	289	2258
8	291	402
8	292	783
8	295	1425
9	367	2396
9	368	1444
9	369	1158
9	370	1113
9	371	1103
9	372	1069
9	373	729
9	374	708
9	375	630
9	376	629
10	159	225
10	196	1137
10	199	1386
10	200	306
10	208	310
10	217	761
10	219	189
10	225	1297
10	228	279
10	229	992
11	89	3384
11	157	1007
11	230	329
11	234	370
11	288	749
11	289	3851
11	292	555
11	294	264
11	295	521
11	300	347
12	189	2976
12	191	4259
12	230	2110
12	288	3072
12	300	1064
12	333	23961
12	344	5489
12	377	59695
12	378	31617
12	405	1034
13	67	9
13	89	3967
13	173	6
13	228	6
13	292	4
13	295	2
13	298	16
13	299	4
13	300	2
13	302	9
14	550	908
14	551	850
14	552	849
14	553	843
14	554	834
14	555	831
14	556	812
14	557	809
14	558	772
14	559	768
15	154	751
15	159	297
15	197	599
15	203	352
15	205	477
15	212	242
15	215	253
15	218	246
15	222	235
15	227	747
16	161	459
16	346	264
16	386	154
16	532	251
16	634	889
16	635	750
16	636	617
16	637	502
16	638	487
16	639	457
17	67	303
17	89	1255
17	229	610
17	230	120
17	288	129
17	289	118
17	292	110
17	298	215
17	300	1089
17	306	144
18	65	234
18	71	401
18	72	404
18	88	258
18	163	230
18	174	332
18	190	544
18	220	623
18	227	630
18	230	400
20	88	111
20	141	987
20	163	119
20	201	118
20	504	154
20	512	290
20	743	483
20	744	375
20	745	304
20	746	285
21	67	219
21	71	110
21	89	406
21	288	474
21	289	4620
21	292	437
21	293	599
21	295	152
21	298	149
21	299	516
22	503	6257
22	514	939
22	804	3804
22	805	2548
22	806	2501
22	807	2352
22	808	2334
22	809	2301
22	810	2160
22	811	2153
23	72	1752
23	152	330
23	159	401
23	163	124
23	181	297
23	220	112
23	226	292
23	227	143
23	233	379
23	420	117
24	67	6917
24	89	661
24	157	538
24	167	1412
24	229	2443
24	257	1203
24	258	531
24	285	586
24	288	677
24	289	1192
25	67	278
25	89	311
25	155	235
25	157	1694
25	288	208
25	289	1623
25	290	95
25	292	404
25	293	81
25	294	141
26	25	177
26	511	1813
26	707	278
26	718	250
26	841	151
26	917	3967
26	918	2199
26	919	1818
26	920	1622
26	921	1356
27	67	117
27	152	200
27	172	106
27	183	156
27	328	86
27	348	86
27	423	408
27	463	159
27	548	144
27	614	102
28	59	8
28	61	8
28	72	8
28	85	14
28	91	11
28	100	14
28	193	27
28	366	10
28	905	7
28	992	18
29	89	153
29	161	30
29	209	23
29	288	42
29	289	79
29	292	34
29	300	68
29	302	121
29	317	33
29	318	24
30	190	120
30	228	209
30	229	152
30	230	259
30	234	165
30	288	203
30	289	1231
30	291	102
30	295	184
30	300	512
31	55	147
31	56	269
31	59	131
31	67	39
31	72	17561
31	77	99
31	159	48
31	227	126
31	238	108
31	289	395
32	88	859
32	154	435
32	155	261
32	159	307
32	170	410
32	173	5023
32	190	1837
32	196	143
32	200	246
32	203	3554
33	152	940
33	183	637
33	188	1383
33	233	1535
33	418	1130
33	607	315
33	614	1113
33	632	318
33	964	759
33	968	354
34	53	211
34	59	1455
34	70	341
34	72	1881
34	163	1416
34	173	775
34	196	578
34	199	1551
34	220	394
34	225	1075
35	212	4
35	444	1
35	920	1
35	964	1
